review_rank,transaction_id,step,type,amount,oldbalanceOrg,oldbalanceDest,risk_probability,approve_cost,review_cost,block_cost,best_automatic_cost,review_value,best_automatic_action,review_priority,review_reason,isFraud
11,1075,685,CASH_OUT,1933121.35,1933121.35,298353.09,0.9999823833197872,1933087.2948193646,5807.36405,2.7244144508433186,2.7244144508433186,-5804.639635549157,BLOCK,1933087.2948193646,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-5,804.64.",1
12,735,670,CASH_OUT,1938347.14,1938347.14,294911.92,0.9999823833197872,1938312.9927582932,5823.04142,2.73177933654647,2.73177933654647,-5820.309640663453,BLOCK,1938312.9927582932,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-5,820.31.",1
13,2491,737,CASH_OUT,2194533.79,2194533.79,272242.91,0.9999823833197872,2194495.129600005,6591.60137,3.0928319995741376,3.0928319995741376,-6588.508538000427,BLOCK,2194495.129600005,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-6,588.51.",1
14,1883,699,CASH_OUT,2763398.31,2763398.31,339515.35,0.9999823833197872,2763349.628095672,8298.19493,3.894552346235276,3.894552346235276,-8294.300377653764,BLOCK,2763349.628095672,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-8,294.30.",1
15,1456,690,CASH_OUT,3574316.05,3574316.05,260882.71,0.9999823833197872,3574253.0824171673,10730.94815,5.03740662659445,5.03740662659445,-10725.910743373406,BLOCK,3574253.0824171673,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-10,725.91.",1
16,721,669,CASH_OUT,5388834.64,5388834.64,218151.69,0.9999823833197872,5388739.706623427,16174.50392,7.594670125815459,7.594670125815459,-16166.909249874183,BLOCK,5388739.706623427,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-16,166.91.",1
17,990,683,CASH_OUT,6545346.16,6545346.16,272331.73,0.9999823833197872,6545230.852729817,19644.03848,9.224581614638845,9.224581614638845,-19634.81389838536,BLOCK,6545230.852729817,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-19,634.81.",1
18,1797,695,CASH_OUT,7435751.59,7435751.59,332673.83,0.9999823833197872,7435620.596742096,22315.25477,10.479460632244935,10.479460632244935,-22304.775309367753,BLOCK,7435620.596742096,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-22,304.78.",1
19,646,664,CASH_OUT,7807640.17,7807640.17,273879.35,0.9999823833197872,7807502.625299908,23430.92051,11.003576007337967,11.003576007337967,-23419.916933992663,BLOCK,7807502.625299908,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-23,419.92.",1
20,474,658,CASH_OUT,8730600.58,8730600.58,256439.26,0.9999823833197872,8730446.775801517,26199.80174,12.30433587870366,12.30433587870366,-26187.497404121295,BLOCK,8730446.775801517,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-26,187.50.",1
21,34,634,CASH_OUT,9168747.51,9168747.51,332348.14,0.9999823833197872,9168585.987107163,27514.24253,12.921831426867069,12.921831426867069,-27501.320698573134,BLOCK,9168585.987107163,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-27,501.32.",1
22,2245,718,CASH_OUT,9749042.95,9749042.95,213495.23,0.9999823833197872,9748871.204227967,29255.128849999997,13.739661762502479,13.739661762502479,-29241.389188237496,BLOCK,9748871.204227967,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,241.39.",1
23,312,646,CASH_OUT,10000000.0,10000000.0,332983.03,0.9999823833197872,9999823.833197871,30008.0,14.093344170262867,14.093344170262867,-29993.906655829738,BLOCK,9999823.833197871,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,993.91.",1
24,313,646,CASH_OUT,10000000.0,10000000.0,235170.07,0.9999823833197872,9999823.833197871,30008.0,14.093344170262867,14.093344170262867,-29993.906655829738,BLOCK,9999823.833197871,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,993.91.",1
25,1688,692,CASH_OUT,10000000.0,10000000.0,316753.92,0.9999823833197872,9999823.833197871,30008.0,14.093344170262867,14.093344170262867,-29993.906655829738,BLOCK,9999823.833197871,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,993.91.",1
26,2153,714,CASH_OUT,10000000.0,10000000.0,377441.15,0.9999823833197872,9999823.833197871,30008.0,14.093344170262867,14.093344170262867,-29993.906655829738,BLOCK,9999823.833197871,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,993.91.",1
27,2519,741,CASH_OUT,10000000.0,10000000.0,192912.98,0.9999798631584967,9999798.631584967,30008.0,16.109473202607916,16.109473202607916,-29991.890526797393,BLOCK,9999798.631584967,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,991.89.",1
28,2518,740,CASH_OUT,1755647.81,1755647.81,2930014.23,0.9999793441714965,1755611.545639924,5274.94343,2.9011488060758133,2.9011488060758133,-5272.042281193924,BLOCK,1755611.545639924,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-5,272.04.",1
29,2210,716,CASH_OUT,1897921.7,1897921.7,956500.29,0.9999773982752989,1897878.8036962321,5701.7651,3.4317043014180877,3.4317043014180877,-5698.333395698582,BLOCK,1897878.8036962321,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-5,698.33.",1
30,1857,698,CASH_OUT,2479767.72,2479767.72,910534.24,0.9999773982752989,2479711.67297267,7447.30316,4.483762186417766,4.483762186417766,-7442.819397813582,BLOCK,2479711.67297267,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-7,442.82.",1
31,2110,711,CASH_OUT,2580055.17,2580055.17,1052911.87,0.9999773982752989,2579996.856303334,7748.16551,4.665095733288141,4.665095733288141,-7743.500414266711,BLOCK,2579996.856303334,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-7,743.50.",1
32,2218,717,CASH_OUT,2624422.62,2624422.62,1204416.83,0.9999773982752989,2624363.3035224434,7881.267860000001,4.74531820453548,4.74531820453548,-7876.522541795465,BLOCK,2624363.3035224434,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-7,876.52.",1
33,198,641,CASH_OUT,2666139.51,2666139.51,1193425.04,0.9999773982752989,2666079.25064878,8006.41853,4.820748097588911,4.820748097588911,-8001.597781902411,BLOCK,2666079.25064878,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-8,001.60.",1
34,2546,742,CASH_OUT,4009058.39,4009058.39,1229761.96,0.9999773982752989,4008967.7783659585,12035.17517,7.248930723327139,7.248930723327139,-12027.926239276674,BLOCK,4008967.7783659585,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-12,027.93.",1
35,2128,713,CASH_OUT,4130371.73,4130371.73,857797.35,0.9999773982752989,4130278.376475245,12399.11519,7.468281980387635,7.468281980387635,-12391.646908019613,BLOCK,4130278.376475245,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-12,391.65.",1
36,649,664,CASH_OUT,5652739.69,5652739.69,1662631.92,0.9999773982752989,5652611.92833372,16966.219070000003,10.220933302448541,10.220933302448541,-16955.998136697555,BLOCK,5652611.92833372,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-16,956.00.",1
37,2308,723,CASH_OUT,6199009.0,6199009.0,938804.47,0.9999773982752989,6198868.891705162,18605.027000000002,11.208663587032826,11.208663587032826,-18593.81833641297,BLOCK,6198868.891705162,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-18,593.82.",1
38,6,631,CASH_OUT,10000000.0,10000000.0,1852708.45,0.9999773982752989,9999773.982752988,30008.0,18.08137976091473,18.08137976091473,-29989.918620239085,BLOCK,9999773.982752988,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,989.92.",1
39,745,670,CASH_OUT,10000000.0,10000000.0,1476475.64,0.9999773982752989,9999773.982752988,30008.0,18.08137976091473,18.08137976091473,-29989.918620239085,BLOCK,9999773.982752988,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,989.92.",1
40,772,671,CASH_OUT,10000000.0,10000000.0,980488.81,0.9999773982752989,9999773.982752988,30008.0,18.08137976091473,18.08137976091473,-29989.918620239085,BLOCK,9999773.982752988,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,989.92.",1
41,813,674,CASH_OUT,10000000.0,10000000.0,879169.43,0.9999773982752989,9999773.982752988,30008.0,18.08137976091473,18.08137976091473,-29989.918620239085,BLOCK,9999773.982752988,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,989.92.",1
42,850,677,CASH_OUT,10000000.0,10000000.0,1622330.57,0.9999773982752989,9999773.982752988,30008.0,18.08137976091473,18.08137976091473,-29989.918620239085,BLOCK,9999773.982752988,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,989.92.",1
43,2071,710,CASH_OUT,10000000.0,10000000.0,1058449.45,0.9999773982752989,9999773.982752988,30008.0,18.08137976091473,18.08137976091473,-29989.918620239085,BLOCK,9999773.982752988,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,989.92.",1
44,2241,718,CASH_OUT,10000000.0,10000000.0,2517892.18,0.9999773982752989,9999773.982752988,30008.0,18.08137976091473,18.08137976091473,-29989.918620239085,BLOCK,9999773.982752988,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,989.92.",1
45,2454,734,CASH_OUT,10000000.0,10000000.0,2571402.25,0.9999773982752989,9999773.982752988,30008.0,18.08137976091473,18.08137976091473,-29989.918620239085,BLOCK,9999773.982752988,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,989.92.",1
46,2556,743,CASH_OUT,1258818.82,1258818.82,503464.5,0.9999766970391322,1258789.485794298,3784.4564600000003,2.346736456172094,2.346736456172094,-3782.1097235438283,BLOCK,1258789.485794298,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-3,782.11.",1
47,481,658,CASH_OUT,1641792.79,1641792.79,536929.18,0.9999766970391322,1641754.5313668617,4933.37837,3.060690651076772,3.060690651076772,-4930.317679348924,BLOCK,1641754.5313668617,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-4,930.32.",1
48,847,677,CASH_OUT,9295454.24,9295454.24,486305.42,0.9999766970391322,9295237.628393596,27894.36272,17.328928512275866,17.328928512275866,-27877.033791487724,BLOCK,9295237.628393596,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-27,877.03.",1
49,2132,713,CASH_OUT,2046684.58,2046684.58,124190.88,0.9999764344648799,2046636.3487826504,6148.05374,3.8584973879744364,3.8584973879744364,-6144.195242612026,BLOCK,2046636.3487826504,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-6,144.20.",1
50,1864,698,CASH_OUT,1242226.78,1242226.78,1079508.64,0.9999753101566937,1242196.109615451,3734.6803400000003,2.453630763925213,2.453630763925213,-3732.2267092360753,BLOCK,1242196.109615451,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-3,732.23.",1
